19:24:26  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:18  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:18  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:18  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:27:18  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:18  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:18  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:18  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:18  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:19  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:19  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:19  L -> UBX CFG,  Size  10,  'Config'
19:27:19  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:19  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:27:19  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:19  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:27:19  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:19  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:19  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:20  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:20  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:20  L -> UBX CFG,  Size  10,  'Config'
19:27:20  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:20  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:27:20  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:20  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:27:20  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:20  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:20  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:21  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:21  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:21  L -> UBX CFG,  Size  10,  'Config'
19:27:21  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:21  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:27:21  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:21  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:27:21  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:21  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:21  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:22  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:22  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:22  L -> UBX CFG,  Size  10,  'Config'
19:27:22  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:22  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:27:22  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:22  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:27:22  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:22  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:22  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:23  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:23  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:23  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:23  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:27:23  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:23  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:27:23  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:23  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:23  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:23  L -> UBX CFG,  Size  10,  'Config'
19:27:24  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:24  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:24  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:24  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:27:24  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:24  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:27:24  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:24  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:24  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:24  L -> UBX CFG,  Size  10,  'Config'
19:27:25  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:25  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:25  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:25  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:27:25  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:25  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:27:25  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:25  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:25  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:25  L -> UBX CFG,  Size  10,  'Config'
19:27:26  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:26  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:26  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:26  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:27:26  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:26  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:27:26  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:26  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:26  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:27  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:27  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:27  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:27  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:27:27  L -> UBX CFG,  Size  10,  'Config'
19:27:27  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:27  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:27:27  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:27  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:27  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:28  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:28  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:28  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:28  L -> NMEA GPGSA,  Size  58,  'GNSS DOP and Active Satellites'
19:27:28  L -> UBX CFG,  Size  10,  'Config'
19:27:28  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:28  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:27:28  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:28  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:28  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:29  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:29  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:29  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:29  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:27:29  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:29  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:27:29  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:29  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:29  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:29  L -> UBX CFG,  Size  10,  'Config'
19:27:30  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:30  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:30  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:30  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:27:30  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:30  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:27:30  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:30  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:30  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:31  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:31  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:31  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:31  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:27:31  L -> UBX CFG,  Size  10,  'Config'
19:27:31  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:31  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:27:31  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:31  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:31  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:32  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:32  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:32  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:32  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:27:32  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:32  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:27:32  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:32  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:32  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:32  L -> UBX CFG,  Size  10,  'Config'
19:27:33  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:33  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:33  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:33  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:27:33  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:33  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:27:33  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:33  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:33  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:34  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:34  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:34  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:34  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:27:34  L -> UBX CFG,  Size  10,  'Config'
19:27:34  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:34  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:27:34  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:34  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:34  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:35  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:35  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:35  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:35  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:27:35  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:35  L -> UBX CFG,  Size  10,  'Config'
19:27:35  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:27:35  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:35  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:35  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:36  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:36  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:36  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:36  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:27:36  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:36  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:27:36  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:36  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:36  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:36  L -> UBX CFG,  Size  10,  'Config'
19:27:37  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:37  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:37  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:37  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:27:37  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:37  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:27:37  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:37  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:37  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:37  L -> UBX CFG,  Size  10,  'Config'
19:27:38  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:38  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:38  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:38  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:27:38  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:38  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:27:38  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:38  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:38  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:38  L -> UBX CFG,  Size  10,  'Config'
19:27:39  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:39  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:39  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:39  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:27:39  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:39  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:27:39  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:39  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:39  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:40  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:40  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:40  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:40  L -> NMEA GPGSA,  Size  58,  'GNSS DOP and Active Satellites'
19:27:40  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:40  L -> UBX CFG,  Size  10,  'Config'
19:27:40  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:27:40  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:40  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:40  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:41  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:41  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:41  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:41  L -> NMEA GPGSA,  Size  58,  'GNSS DOP and Active Satellites'
19:27:41  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:41  L -> UBX CFG,  Size  10,  'Config'
19:27:41  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:27:41  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:41  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:41  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:42  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:42  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:42  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:42  L -> NMEA GPGSA,  Size  58,  'GNSS DOP and Active Satellites'
19:27:42  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:42  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:27:42  L -> UBX CFG,  Size  10,  'Config'
19:27:42  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:42  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:42  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:43  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:43  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:43  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:43  L -> NMEA GPGSA,  Size  58,  'GNSS DOP and Active Satellites'
19:27:43  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:43  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:27:43  L -> UBX CFG,  Size  10,  'Config'
19:27:43  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:43  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:43  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:44  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:44  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:44  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:44  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:27:44  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:44  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:27:44  L -> UBX CFG,  Size  10,  'Config'
19:27:44  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:44  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:44  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:45  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:45  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:45  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:45  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:27:45  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:45  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:27:45  L -> UBX CFG,  Size  10,  'Config'
19:27:45  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:45  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:45  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:46  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:46  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:46  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:46  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:27:46  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:46  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:27:46  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:46  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:46  L -> UBX CFG,  Size  10,  'Config'
19:27:46  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
19:27:47  L -> NMEA GPRMC,  Size  68,  'Recommended Minimum Specific GNSS Data'
19:27:47  L -> NMEA GPVTG,  Size  35,  'Course Over Ground and Ground Speed'
19:27:47  L -> NMEA GPGGA,  Size  75,  'Global Positioning System Fix Data'
19:27:47  L -> NMEA GPGSA,  Size  60,  'GNSS DOP and Active Satellites'
19:27:47  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:47  L -> NMEA GPGSV,  Size  68,  'GNSS Satellites in View'
19:27:47  L -> NMEA GPGSV,  Size  70,  'GNSS Satellites in View'
19:27:47  L -> NMEA GPGSV,  Size  31,  'GNSS Satellites in View'
19:27:47  L -> NMEA GPGLL,  Size  52,  'Geographic Position - Latitude/Longitude'
